Rank,Priority,Lane,SKU,Product Title,Availability,Inventory Qty,Weight kg,After-Coupon Ref,Feed MAP,Planning Ad Floor,Why It Fits Elevation,Suggested Collection,Product Link,VEVOR Product Type,Publish Control
1,A — Core Launch,Power & Off-Grid,DCDCDDY12V24PZD1S001V9,"VEVOR DC to DC Battery Charger, 520W, 40A Alternator Charger, Fast DC-DC Charging for Portable Power Stations, Compatible with LiFePO4 Lead-Acid AGM GEL Batteries, 12V/24V-12V/24V, for RV Home Backup",in stock,395,1.10000,89.9,,89.9,Direct fit for RV/mobile lithium charging and off-grid system builds.,Solar & Battery Charging,https://www.vevor.com/other-c_45583/vevor-dc-to-dc-battery-charger-520w-40a-alternator-charger-fast-dc-dc-charging-for-portable-power-stations-compatible-with-lifepo4-lead-acid-agm-gel-batteries-12v-24v-12v-24v-for-rv-home-backup-p_010355862541,Electrical > Renewable Energy > DC to DC Charger ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
2,A — Core Launch,Power & Off-Grid,DCDCSDY12V24BEYZ9001V9,"VEVOR DC to DC Charger with MPPT, 350W, 30A On-Board Battery Charger, Solar Panel/Alternator Dual Input, Smart Multi-Stage Charging for LiFePO4 Lead-Acid Batteries, 12V/24V-12V/24V, for RV Home Backup",in stock,143,1.10000,96.9,,96.9,Direct fit for RV/mobile lithium charging and off-grid system builds.,Solar & Battery Charging,https://www.vevor.com/other-c_45583/vevor-dc-to-dc-charger-with-mppt-350w-30a-on-board-battery-charger-solar-panel-alternator-dual-input-smart-multi-stage-charging-for-lifepo4-lead-acid-batteries-12v-24v-12v-24v-for-rv-home-backup-p_010458807584,Electrical > Renewable Energy > DC to DC Charger ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
3,A — Core Launch,Power & Off-Grid,LWGPNKYTJ1204ZG5LV6,"VEVOR Hybrid Solar Inverter, 3000W, All in One Pure Sine Wave Power Inverter Charger, 24V DC to 110/120V AC, with Built-in 100A MPPT Solar Controller, for Off-Grid System Lead Acid Lithium Battery",in stock,206,4.30000,252.71,,252.71,Core off-grid power component with inverter/charger and MPPT functionality.,Solar & Off-Grid Power,https://www.vevor.com/pure-sine-wave-inverter-c_10760/hybrid-solar-inverter-charger-3000w-110-120v-with-built-in-100a-mppt-controller-p_010507262411,Electrical > Renewable Energy > Solar Power Accessories > Hybrid Solar Inverter ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
4,A — Core Launch,Power & Off-Grid,NBQCDQ1200W15EZHY001V1,"VEVOR Pure Sine Wave Inverter Charger, 1200W, DC 12V to AC 120V Power Inverter with LCD Display, Remote Control, Low Frequency, for RV Camper Home, Compatible with 12V LiFePO4 Lithium Batteries",in stock,143,14.45000,184.94,,184.94,"Direct fit for battery-based RV, backup-power and off-grid systems.",Inverters & Power Conversion,https://www.vevor.com/inverter-charger-c_42234/vevor-pure-sine-wave-inverter-charger-1200w-dc-12v-to-ac-120v-power-inverter-with-lcd-display-remote-control-low-frequency-for-rv-camper-home-compatible-with-12v-lifepo4-lithium-batteries-p_010618792061,Automotive > Battery Charging Systems > Car Power Inverters > Inverter Charger ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
5,B — Strong Expansion,Power & Off-Grid,CZXNBQDMKWKDD5F35V9,"VEVOR Pure Sine Wave Inverter 3500 Watt Power Inverter, DC 12V to AC 120V Car Inverter, with USB Port LCD Display Remote Controller and AC Outlets (GFCI), for RV Truck Car Solar System Travel Camping",in stock,485,7.75000,195.21,,195.21,"Direct fit for battery-based RV, backup-power and off-grid systems.",Inverters & Power Conversion,https://www.vevor.com/pure-sine-wave-inverter-c_10760/vevor-pure-sine-wave-inverter-power-inverter-3500w-dc12v-to-ac120v-inverter-lcd-p_010526241990,Automotive > Battery Charging Systems > Car Power Inverters > Power Inverters ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
6,A — Core Launch,Power & Off-Grid,GDSTYNB1200WLJQ4J001V1,"VEVOR 200W Monocrystalline Solar Panel, 23% High-Efficiency Mono PV Module with Stable MC4 Output & Aluminum Frame, IP65 Waterproof Solar Panel for Car Boat RV Flat Rooftop Off-Grid Applications",in stock,286,12.40000,159.95,,159.95,Direct solar-system component and natural cross-sell with batteries and power stations.,Solar Panels & Charging,https://www.vevor.com/solar-panels-c_13594/vevor-200w-monocrystalline-solar-panel-23-high-efficiency-mono-pv-module-with-stable-mc4-output-aluminum-frame-ip65-waterproof-solar-panel-for-car-boat-rv-flat-rooftop-off-grid-applications-p_010277156717,Electrical > Renewable Energy > Solar Panels > Monocrystalline Solar Panel ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
7,B — Strong Expansion,Power & Off-Grid,BXZDTYNB160W36PFJ001Y3,"VEVOR 60W Foldable Solar Panel Charger, 16BB N-Type Monocrystalline Solar Panel 24% Efficiency, Lightweight Portable with MC4 Output, Type-C, USB-A & DC Ports for Power Stations Camping Hiking",in stock,157,2.20000,48.9,,48.9,Direct solar-system component and natural cross-sell with batteries and power stations.,Solar Panels & Charging,https://www.vevor.com/solar-panels-c_13594/vevor-60w-foldable-solar-panel-charger-16bb-n-type-monocrystalline-solar-panel-24-efficiency-lightweight-portable-with-mc4-output-type-c-usb-a-dc-ports-for-power-stations-camping-hiking-p_010985240169,Electrical > Renewable Energy > Solar Panels > Monocrystalline Solar Panel ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
8,B — Strong Expansion,Power & Off-Grid,LDQ61224V35A1XL16V5,"VEVOR Smart Battery Charger, 35-Amp, Lithium LiFePO4 Lead-Acid (AGM / Gel / SLA) Car Battery Charger with LCD Display, Trickle Charger Maintainer Desulfator for Boat Motorcycle Lawn Mower Deep Cycle",in stock,17519,1.70000,78.9,,78.9,Battery-support accessory aligned with Elevation's lithium and mobile-power customers.,Battery Chargers & Accessories,https://www.vevor.com/battery-charger-c_11827/vevor-smart-battery-charger-35-amp-lithium-lifepo4-lead-acid-agm-gel-sla-car-battery-charger-with-lcd-display-trickle-charger-maintainer-desulfator-for-boat-motorcycle-lawn-mower-deep-cycle-p_010879794757,Electrical > Batteries > Rechargeable Battery Chargers > Starting & Energy Storage Battery Charger ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
9,A — Core Launch,Power & Off-Grid,FCCDQ12V20A05C7H3001V1,"VEVOR 12V 20A Lithium Battery Charger, 14.6V, AC-DC LiFePO4 Smart Charger, with Anderson Connector, LED Indicator, 0V Activation, for Lithium LiFePO4 Deep Cycle Rechargeable Batteries of Boat, RV",in stock,315,1.60000,64.9,,64.9,Battery-support accessory aligned with Elevation's lithium and mobile-power customers.,Battery Chargers & Accessories,https://www.vevor.com/battery-chargers-c_14017/vevor-12v-20a-lithium-battery-charger-14-6v-ac-dc-lifepo4-smart-charger-for-rv-p_010889683485,Automotive > Battery Charging Systems > Car Battery Chargers > RV Charger ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
10,A — Core Launch,Power & Off-Grid,DGNRV50A1450RJD0NV0,"VEVOR 50 Amp RV Power Outlet Box, 125/250 Volt, Enclosed Lockable Outdoor RV Receptacle Box, NEMA 14-50R Weatherproof Electrical Panel, for RV Camper Trailer Motorhome",in stock,2895,2.10000,31.41,,31.41,"Strong RV electrical infrastructure product for properties, campsites and service work.",RV Electrical,https://www.vevor.com/power-outlet-box-c_12116/vevor-50-amp-rv-power-outlet-box-125-250-volt-enclosed-lockable-outdoor-rv-receptacle-box-nema-14-50r-weatherproof-electrical-panel-for-rv-camper-trailer-motorhome-electric-car-ul-listed-outlet-p_010714234337,Electrical > Power Distribution > Temporary Power & Disconnects > Transfer Switches & Kits > Generator Inlet Boxes > Power Inlet Box ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
11,A — Core Launch,Power & Off-Grid,DGNCRV203050AY3ZNV0,"VEVOR Temporary Power Outlet Panel, 125/250V, RV Power Outlet Box with a 20/30/50 Amp Receptacle Installed, NEMA 14-50R / NEMA TT-30R / 15A GFCI for RV Camper Trailer Motorhome",in stock,2533,6.80000,109.9,,109.9,"Strong RV electrical infrastructure product for properties, campsites and service work.",RV Electrical,https://www.vevor.com/power-outlet-box-c_12116/vevor-temporary-power-outlet-panel-125-250-volt-rv-power-outlet-box-with-a-20-30-50-amp-receptacle-installed-nema-14-50r-nema-tt-30r-15a-gfci-for-rv-camper-trailer-motorhome-ul-listed-outlet-p_010686204037,Electrical > Power Distribution > Temporary Power & Disconnects > Transfer Switches & Kits > Generator Inlet Boxes > Power Inlet Box ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
12,B — Strong Expansion,Power & Off-Grid,SDZHKG12024073S92V5,"VEVOR Manual Transfer Switch, 30-Amp 10-Circuit, Prewired Generator Transfer Switch Kit with NEMA L14-30P Power Inlet Box, Double-Throw Switch, NEMA 3R, Mechanical Watt Meter, for 7500W Generators",in stock,73,8.95000,191.9,,191.9,Home-backup and generator integration product that supports resilience projects.,Backup Power & Transfer,https://www.vevor.com/power-outlet-box-c_12116/manual-transfer-switch-30a-generator-transfer-switch-kit-nema-3r-7500w-120-240v-p_010102500634,Electrical > Power Distribution > Temporary Power & Disconnects > Transfer Switches & Kits > Transfer Switches > Manual Transfer Switch ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
13,B — Strong Expansion,Power & Off-Grid,WSBNBQTZ20001Z3WZ001V1,"VEVOR Sump Pump Battery Bundle, 2000W, Backup System with 100 Ah LiFePO4 Battery, Auto Switches to Inverter for Sump Pump, Pure Sine Wave, LCD Display, for Basement Protection Emergency Power Outage",in stock,153,15.70000,399.9,,399.9,Resilience product combining LiFePO4 backup power with home water-risk protection.,Home Backup & Resilience,https://www.vevor.com/sump-pump-inverter-c_45102/vevor-sump-pump-battery-bundle-2000w-backup-system-with-100-ah-lifepo4-battery-auto-switches-to-inverter-for-sump-pump-pure-sine-wave-lcd-display-for-basement-protection-emergency-power-outage-p_010832196846,Plumbing > Water Pumps > Sump Pumps > Sump Pump Backup Batteries > Sump Pump Inverter ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
14,B — Strong Expansion,Power & Off-Grid,DXCNDYWTYNB177DIF001V1,"VEVOR Portable Power Station, 1800W Solar Generator Power Station, 1008Wh LiFePO4 Battery Backup with 9 Output Ports for for Home Emergency, Outdoor Camping, RV Travel (Solar Panel NOT Included)",in stock,189,14.00000,473.9,,473.9,Direct solar-system component and natural cross-sell with batteries and power stations.,Solar Panels & Charging,https://www.vevor.com/whole-house-portable-solar-power-generator-c_44909/vevor-portable-power-station-1800w-solar-generator-power-station-1008wh-lifepo4-battery-backup-with-9-output-ports-for-for-home-emergency-outdoor-camping-rv-travel-solar-panel-not-included--p_010790472307,Outdoors > Outdoor Power Equipment > Generators > Battery Generators > Whole House Portable Solar Power Generator ,LIVE VEVOR PRICE + STOCK CHECK REQUIRED
